,comment_id,content
0,11657452502,好很好非常好，好的不能再好。冲凉洗头效果杠杠的，小米运动APP功能丰富。我感觉没必要去等9月份带NFC功能的小米手环3，因为只能刷公交地铁。不如手机多功能NFC来的全面可以模拟上班卡银行卡饭卡门禁，当然加密的门卡是不能模拟的。然后就是小米公交地铁。我感觉比荣耀手环3续航上面强很多。整体还是很不错的，一个手环，两张膜，一个随身电扇，价格也合适了，带上比一代大，比苹果表又小，整体做工很精致，找不出毛病，APP链接方便，续航省心，看个时间，测下心跳，看看步数，天气预报，闹钟，微信提醒，游泳可以戴，除了不能调节AIRPODS音量，基本可以取代苹果表了，希望能督促我注意健康！
1,11658317138,终于收到我需要的宝贝了，东西很好，价美物廉。说实在，这是我京东购物来让我最满意的一次购物，比~的购物体验好多了。无论是卖家的态度还是对物品，我都非常满意的。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的。发货速度更是不用说，隔天就可以收到宝贝，超级赞?。
2,11657942617,特意使用了一段时间才来评价，购买时在荣耀3和小米3之中犹豫了一下，最终选择了小米，待机方面开启了睡眠和心率从充满电到15%提示充电是九天多，佩戴上可以做到无感，平时洗手直接冲水没有问题（洗澡时还是不太敢），抬手亮屏可以设置时间。没有惊喜也不会后悔的一款产品。
3,11576030121,4月的时候本来是想买手环2的，我就去搜了一下，网上说3今年会出，我就等着，结果有心人天不负。就等到，看到5月31号的发布会，超激动的，还是第一次那么认的看呢！6月5号在京东这抢到了，然后第二天到了，因为个人原因拿不到，就叫快递小哥代签了，然后6月8日5点拿到，打开简易的快递袋，就看到了手环表面。回到宿舍就急着装上了，然后就升级，看到丰富的功能，超爱的。一直都看好小米，真没让人失望，物美价廉，不赖。???开始看着同学的手环2，超想买的，结果还忍住了，手环3给了我动力。我的心情无法用文字能表述的。???
4,11587533612,正如大家所看到的，视频里面反应没有那么快，有时还比较迟钝，我从一代接触到现在的三代的成长，感受比较大（2袋我没有用，我买了苹果表），鉴于169元的价位，和最近两天的评价，满分100分的话，我给85分，缺点有这么几个，第一:屏幕的亮度在阳光下根本看不清，这个手环估计只能能在室内和晚上设计的。第二:手环的反应比较差，还是没有彩色的字 第三，没有声音什么的，找手环怎么找啊？你让我听震动吗？好了，优点来了:  性价比极好，没毛病，永远的理性支持（不是粉，理性消费），很轻很轻，防水不错，超适合永远佩戴，比手表更健康，相对于手表的多功能来说，手环更加适合便利的生活。暂且就这些啦！还有，小米的货量真的进步了！
5,11507175975,很实用的工具，很方便。
6,11561701590,"1-外观：个人比较喜欢3代圆润饱满的米粒，手感比较好
2-操作：逻辑上较2代有所改变，上手这会儿发现几个问题，上下滑和左右滑这两种操作有时候会误操作
3-功能：和2代比较的话，提升不是太大，多了几个功能，手环触摸屏锁（一定程度防止误触），天气预报，通知显示（感觉有延迟），事件提醒，用手环查找手机（个人觉得蛮好用的）

总结：
小幅升级的手环2，叫3代感觉有点不太合适，不过还是首发就买了"
7,11012102723,物流快。用起来还不错。
8,11688200028,买这个手环其实纠结了好久，还有很多想买的，其实主要是这么几个需求，一是久坐提醒，二是跑步需要，本来想买个带GPS的，可是奈何都很贵，我是iPhone，所以想买9月发布的Apple Watch4，现在花高价钱买了手环或者手表，到时候再买Apple Watch4就有点亏了。所以还是最简单的几个功能吧，久坐提醒，还有就是心率，没有GPS就带着手机吧，谁让我还想听歌呢，哈哈
9,11704826019,"从功能上确实比二代好很多，多了很多实用的功能，能够显示更多的文字了！
腰带夹紧方式比二代好多了，不用担心脱落了，之前二代就是脱落后丢了！
现在发现的不如二代的就是电量了，不知道是不是因为功能多了，电池只能用十天左右，和二代的将近一个月差距比较大！"
